episode,task_id,epsilon,steps,total_reward,mean_td_loss
1,easy_small_clinic,0.35,20,-3.1675,0.039368
2,medium_busy_opd,0.3497,40,-6.3945,0.099911
3,hard_mass_casualty,0.3494,60,-35.5708,0.591938
4,easy_small_clinic,0.3491,20,0.9075,0.010987
5,medium_busy_opd,0.3488,40,-9.4152,0.245939
6,hard_mass_casualty,0.3485,60,-25.2088,0.35569
7,easy_small_clinic,0.3482,20,-6.16,0.170771
8,medium_busy_opd,0.3479,40,-5.6995,0.185757
9,hard_mass_casualty,0.3476,60,-9.1665,0.221721
10,easy_small_clinic,0.3473,20,-0.55,0.019539
11,medium_busy_opd,0.347,40,-9.6622,0.186823
12,hard_mass_casualty,0.3467,60,-18.9827,0.215551
13,easy_small_clinic,0.3464,20,-4.035,0.113421
14,medium_busy_opd,0.3461,40,-13.8557,0.291517
15,hard_mass_casualty,0.3458,60,-39.5314,0.754779
16,easy_small_clinic,0.3455,20,-5.3775,0.161608
17,medium_busy_opd,0.3452,40,-0.7686,0.034476
18,hard_mass_casualty,0.3449,60,-22.2637,0.308534
19,easy_small_clinic,0.3446,20,-0.7925,0.03377
20,medium_busy_opd,0.3443,40,-12.3787,0.281676
21,hard_mass_casualty,0.344,60,-17.9512,0.185484
22,easy_small_clinic,0.3437,20,-0.5825,0.023854
23,medium_busy_opd,0.3434,40,-7.8053,0.112529
24,hard_mass_casualty,0.3431,60,-9.5824,0.068112
25,easy_small_clinic,0.3428,20,-0.8325,0.016021
26,medium_busy_opd,0.3425,40,-16.2395,0.278298
27,hard_mass_casualty,0.3422,60,-11.5331,0.121142
28,easy_small_clinic,0.3419,20,0.1025,0.02142
29,medium_busy_opd,0.3416,40,-16.7778,0.381835
30,hard_mass_casualty,0.3413,60,-22.8701,0.541157
31,easy_small_clinic,0.341,20,-2.9125,0.065001
32,medium_busy_opd,0.3407,40,-8.7901,0.126741
33,hard_mass_casualty,0.3404,60,-17.5885,0.151497
34,easy_small_clinic,0.3401,20,-0.82,0.01634
35,medium_busy_opd,0.3398,40,-12.1339,0.228318
36,hard_mass_casualty,0.3395,60,-16.996,0.159681
37,easy_small_clinic,0.3392,20,0.8,0.016785
38,medium_busy_opd,0.3389,40,-0.6818,0.030614
39,hard_mass_casualty,0.3386,60,-45.5827,1.035132
40,easy_small_clinic,0.3383,20,-1.48,0.047684
41,medium_busy_opd,0.338,40,0.4113,0.018291
42,hard_mass_casualty,0.3377,60,-19.1499,0.259301
43,easy_small_clinic,0.3374,20,-0.1525,0.010379
44,medium_busy_opd,0.3371,40,2.6142,0.014392
45,hard_mass_casualty,0.3368,60,-17.7232,0.21067
46,easy_small_clinic,0.3365,20,2.1305,0.016931
47,medium_busy_opd,0.3362,40,-6.3319,0.088665
48,hard_mass_casualty,0.3359,60,-31.3983,0.530977
49,easy_small_clinic,0.3356,20,1.345,0.022651
50,medium_busy_opd,0.3353,40,-14.652,0.280672
51,hard_mass_casualty,0.335,60,-5.5727,0.022777
52,easy_small_clinic,0.3347,20,-1.6625,0.0541
53,medium_busy_opd,0.3344,40,-9.9146,0.119456
54,hard_mass_casualty,0.3341,60,-10.3784,0.098224
55,easy_small_clinic,0.3338,20,0.8125,0.009595
56,medium_busy_opd,0.3335,40,-10.4902,0.316962
57,hard_mass_casualty,0.3332,60,-25.8011,0.473371
58,easy_small_clinic,0.3329,20,1.1775,0.035142
59,medium_busy_opd,0.3326,40,-8.3478,0.232
